concept_id,name
dearth-ai-discoveries,Dearth of AI-driven Discoveries
default-mode-network,Default Mode Network
large-language-model,Large Language Model (LLM)
large-language-model-v1,Large Language Model (LLM)
human-creativity-insight,Human Creativity and Insight
combinatorial-search,Combinatorial Search
generator-verifier-gap,Generator-Verifier Gap
generator-verifier-gap-v1,Generator-Verifier Gap
generate-and-test,Generate-and-Test
economic-innovation-models,Economic Innovation Models
mind-wandering,Mind-Wandering
combinatorial-creativity,Combinatorial Creativity
adversarial-evaluation,Adversarial Evaluation
positive-feedback-loop,Positive Feedback Loop
economic-moat,Economic Moat
economic-moat-v1,Economic Moat
flywheel-effect,Flywheel Effect
data-flywheel,Data Flywheel
