template_id,template_name,description,active
systematic-analytical,Systematic Analytical,Structured step-by-step analysis approach,false
creative-synthesis,Creative Synthesis,Open-ended imaginative exploration,false
problem-solving,Problem Solving,Focus on solving challenges and obstacles,false
research-discovery,Research Discovery,Academic research orientation,false
application-implementation,Application Implementation,Practical real-world implementation focus,false
systematic-analytical-v2,Systematic Analytical,Structured step-by-step analysis approach,false
creative-synthesis-v2,Creative Synthesis,Open-ended imaginative exploration,true
problem-solving-v2,Problem Solving,Focus on solving challenges and obstacles,false
research-discovery-v2,Research Discovery,Academic research orientation,false
application-implementation-v2,Application Implementation,Practical real-world implementation focus,false
gwern_original,Gwern Original,Gwern Original,false
essay-inventive-synthesis,Essay Inventive Synthesis,Interdisciplinary synthesis and conceptual invention with concrete proposals,true
